organism,organism_code
ABIOTROPHIA SPECIES (OR GRANULICATELLA SPECIES),0
ACHROMOBACTER SPECIES,1
ACHROMOBACTER XYLOSOXIDANS,2
ACID FAST BACILLI,3
ACID FAST BACILLI DETECTED IN LIQUID MEDIUM,4
ACINETOBACTER BAUMANNII,5
ACINETOBACTER BAUMANNII COMPLEX,6
ACINETOBACTER HAEMOLYTICUS,7
ACINETOBACTER LWOFFI,8
ACINETOBACTER SPECIES,9
ACTINOMYCES SPECIES,10
AEROCOCCUS SPECIES,11
AEROCOCCUS URINAE,12
AEROMONAS CAVIAE,13
AEROMONAS HYDROPHILA GROUP,14
AEROMONAS SPECIES,15
AEROMONAS VERONII,16
ALCALIGENES FAECALIS,17
ALCALIGENES SPECIES,18
ANAEROBIC GRAM NEGATIVE RODS,19
ANAEROBIC GRAM POSITIVE COCCI,20
ANAEROBIC GRAM POSITIVE RODS,21
ARCANOBACTERIUM HAEMOLYTICUM,22
BACILLUS SPECIES,23
BACTEROIDES CACCAE,24
BACTEROIDES FRAGILIS,25
BACTEROIDES OVATUS,26
BACTEROIDES SPECIES,27
BACTEROIDES SPECIES NOT FRAGILIS,28
BACTEROIDES THETAIOTAOMICRON,29
BACTEROIDES UNIFORMIS,30
BACTEROIDES UREOLYTICUS,31
BACTEROIDES VULGATUS,32
BETA STREPTOCOCCUS GROUP C,33
BETA STREPTOCOCCUS GROUP G,34
BETA STREPTOCOCCUS SPECIES,35
BORDETELLA BRONCHISEPTICA,36
BREVIBACTERIUM SPECIES,37
BREVUNDIMONAS,38
BURKHOLDERIA CENOCEPACIA,39
BURKHOLDERIA CEPACIA,40
BURKHOLDERIA CEPACIA COMPLEX,41
BURKHOLDERIA CEPACIA COMPLEX GENOMOVAR I,42
BURKHOLDERIA GLADIOLI,43
BURKHOLDERIA MULTIVORANS,44
BURKHOLDERIA VIETNAMIENSIS,45
CAMPYLOBACTER SPECIES,46
"CHROMOGENIC AFB, NOT M.TUBERCULOSIS",47
CHRYSEOBACTERIUM INDOLOGENES,48
CHRYSEOBACTERIUM SPECIES,49
CHRYSEOMONAS LUTEOLA,50
CITROBACTER AMALONATICUS COMPLEX,51
CITROBACTER BRAAKII,52
CITROBACTER FREUNDII,53
CITROBACTER FREUNDII COMPLEX,54
CITROBACTER FREUNDII COMPLEX (CARBAPENEM RESISTANT),55
CITROBACTER KOSERI,56
CITROBACTER KOSERI (CARBAPENEM RESISTANT),57
CITROBACTER SPECIES,58
CITROBACTER YOUNGAE,59
CLOSTRIDIUM CLOSTRIDIOFORME,60
CLOSTRIDIUM INNOCUUM,61
CLOSTRIDIUM PARAPUTRIFICUM,62
CLOSTRIDIUM PERFRINGENS,63
CLOSTRIDIUM RAMOSUM,64
CLOSTRIDIUM SEPTICUM,65
CLOSTRIDIUM SORDELLII,66
CLOSTRIDIUM SPECIES,67
"CLOSTRIDIUM SPECIES, NOT PERFRINGENS",68
CLOSTRIDIUM TERTIUM,69
COAG NEGATIVE STAPHYLOCOCCUS,70
COMAMONAS ACIDOVORANS,71
CORYNEBAC. STRIATUM/AMYCOLATUM,72
CORYNEBACTERIUM ACCOLENS,73
CORYNEBACTERIUM AMYCOLATUM,74
CORYNEBACTERIUM DIPTHERIAE,75
CORYNEBACTERIUM GROUP F-1,76
CORYNEBACTERIUM JEIKEIUM,77
CORYNEBACTERIUM MACGINLEYI,78
CORYNEBACTERIUM PROPINQUUM,79
CORYNEBACTERIUM PSEUDODIPHTHERITICUM,80
CORYNEBACTERIUM SPECIES,81
"CORYNEBACTERIUM SPECIES, NOT C. UREALYTICUM",82
CORYNEBACTERIUM STRIATUM,83
CORYNEBACTERIUM UREALYTICUM,84
CRONOBACTER SAKAZAKII,85
CULTURE POSITIVE GRAM NEGATIVE COCCI,86
DERMABACTER HOMINIS,87
DIPHTHEROIDS - CORYNEBACTERIUM SPECIES,88
EGGERTHELLA LENTA,89
ELIZABETHKINGIA MENINGOSEPTICA,90
ELIZABETHKINGIA SPECIES,91
ENTERIC GRAM NEGATIVE RODS,92
ENTEROBACTER AMNIGENUS 1,93
ENTEROBACTER ASBURIAE,94
ENTEROBACTER CANCEROGENUS,95
ENTEROBACTER CLOACAE,96
ENTEROBACTER CLOACAE COMPLEX,97
ENTEROBACTER CLOACAE COMPLEX (CARBAPENEM RESISTANT),98
ENTEROBACTER GERGOVIAE,99
ENTEROBACTER SPECIES,100
ENTEROBACTER TAYLORAE,101
ENTEROCOCCUS AVIUM,102
ENTEROCOCCUS CASSELIFLAVUS,103
ENTEROCOCCUS DURANS,104
ENTEROCOCCUS DURANS/HIRAE,105
ENTEROCOCCUS FAECALIS,106
ENTEROCOCCUS FAECALIS - VANCO RESISTANT,107
ENTEROCOCCUS FAECIUM,108
ENTEROCOCCUS FAECIUM -  VANCO RESISTANT,109
ENTEROCOCCUS GALLINARUM,110
ENTEROCOCCUS RAFFINOSUS,111
ENTEROCOCCUS SPECIES,112
ESCHERICHIA COLI,113
ESCHERICHIA FERGUSONII,114
ESCHERICHIA HERMANII,115
ESCHERICHIA SPECIES,116
ESCHERICHIA VULNERIS,117
EUBACTERIUM LENTUM,118
EWINGELLA AMERICANA,119
FLAVOBACTERIUM SPECIES,120
FUSOBACTERIUM NECROPHORUM,121
FUSOBACTERIUM NUCLEATUM,122
FUSOBACTERIUM SPECIES,123
GORDONIA SPECIES,124
GRAM NEGATIVE RODS,125
"GRAM NEGATIVE RODS - NONFERM, UNIDENTIFIED",126
GRAM POSITIVE RODS,127
HAEMOPHILUS ACTINOMYCETEMCOMITANS,128
HAFNIA,129
HAFNIA ALVEI,130
HAFNIA ALVEI (CARBAPENEM RESISTANT),131
KLEBSIELLA AEROGENES,132
KLEBSIELLA AEROGENES (CARBAPENEM RESISTANT),133
KLEBSIELLA OXYTOCA,134
KLEBSIELLA OZAENAE,135
KLEBSIELLA PNEUMONIAE,136
KLEBSIELLA PNEUMONIAE (CARBAPENEM RESISTANT),137
KLEBSIELLA PNEUMONIAE SSP. OZAENAE,138
KLEBSIELLA SPECIES,139
KLUYVERA ASCORBATA,140
KLUYVERA CRYOCRESCENS,141
KLUYVERA SPECIES,142
LACTOBACILLUS CASEI,143
LACTOBACILLUS RHAMNOSUS,144
LACTOBACILLUS SPECIES,145
LACTOSE FERMENTING GRAM NEGATIVE RODS,146
LECLERCIA ADECARBOXYLATA,147
LEUCONOSTOC SPECIES,148
LISTERIA MONOCYTOGENES,149
LISTERIA SPECIES,150
MICROBACTERIUM SPECIES,151
MIXED GENITAL FLORA,152
MORAXELLA NON-LIQUEFACIENS,153
MORAXELLA OSLOENSIS,154
MORGANELLA MORGANII,155
MUCOID PSEUDOMONAS AERUGINOSA,156
MYCOBACTERIUM ABSCESSUS,157
MYCOBACTERIUM ABSCESSUS GROUP,158
MYCOBACTERIUM AVIUM COMPLEX,159
MYCOBACTERIUM AVIUM COMPLEX BY DNA PROBE,160
MYCOBACTERIUM CHELONAE,161
MYCOBACTERIUM FORTUITUM,162
MYCOBACTERIUM FORTUITUM SPECIES GROUP,163
MYCOBACTERIUM IMMUNOGENUM,164
MYCOBACTERIUM NEOAURUM,165
MYCOBACTERIUM SPECIES,166
MYCOBACTERIUM SPECIES - RAPID GROWER,167
MYCOBACTERIUM XENOPI,168
MYROIDES SPECIES,169
NOCARDIA ASTEROIDES,170
NOCARDIA CYRIACIGEORGICA,171
NOCARDIA FARCINICA,172
NOCARDIA NOVA,173
NOCARDIA NOVA COMPLEX,174
NOCARDIA SPECIES,175
NOCARDIA TRANSVALENSIS,176
NOCARDIA TRANSVALENSIS COMPLEX,177
NON FERMENTING GRAM NEGATIVE RODS,178
NON LACTOSE FERMENTING GRAM NEGATIVE RODS,179
NON SPORE-FORMING ANAEROBIC GRAM POSITIVE RODS,180
NON-FERMENTING GRAM NEGATIVE RODS - NOT P.AERUGINOSA,181
NONFERMENTING GRAM NEGATIVE RODS - UNIDENTIFIED,182
NORCARDIA WALLACEI,183
OCHROBACTRUM,184
OCHROBACTRUM ANTHROPI,185
OLIGELLA URETHRALIS,186
PAENIBACILLUS SPECIES,187
PANTOEA AGGLOMERANS,188
PANTOEA SPECIES,189
PARABACTEROIDES DISTASONIS,190
PARABACTEROIDES SPECIES,191
PASTEURELLA MULTOCIDA,192
PEDIOCOCCUS SP.,193
PEPTOSTREPTOCOCCUS SPECIES,194
PREVOTELLA SPECIES,195
PROTEUS MIRABILIS,196
PROTEUS SPECIES,197
PROTEUS VULGARIS GROUP,198
PROVIDENCIA RETTGERI,199
PROVIDENCIA SPECIES,200
PROVIDENCIA STUARTII,201
PSEUDOMONAS AERUGINOSA,202
PSEUDOMONAS AERUGINOSA (NON-MUCOID CF),203
PSEUDOMONAS FLUORESCENS,204
PSEUDOMONAS FLUORESCENS GROUP,205
PSEUDOMONAS MENDOCINA,206
PSEUDOMONAS ORYZIHABITANS,207
PSEUDOMONAS PUTIDA,208
PSEUDOMONAS PUTIDA GROUP,209
PSEUDOMONAS SPECIES,210
PSEUDOMONAS SPECIES - FLUORESCENS/PUTIDA GROUP,211
PSEUDOMONAS SPECIES - NOT P.AERUGINOSA,212
PSEUDOMONAS STUTZERI,213
PSEUDOMONAS STUTZERI GROUP,214
RAHNELLA,215
RALSTONIA MANNITOLILYTICA,216
RALSTONIA SPECIES,217
RAOULTELLA,218
RAOULTELLA ORNITHINOLYTICA,219
RAOULTELLA PLANTICOLA,220
RHIZOBIUM RADIOBACTER,221
SALMONELLA ENTERICA,222
SALMONELLA SPECIES,223
SALMONELLA TYPHI,224
SCHISTOSOMA HAEMATOBIUM OVA,225
SERRATIA LIQUEFACIENS,226
SERRATIA MARCESCENS,227
SERRATIA MARCESCENS (CARBAPENEM RESISTANT),228
SERRATIA ODORIFERA,229
SERRATIA PLYMUTHICA,230
SERRATIA RUBIDAEA,231
SERRATIA SPECIES,232
SHEWANELLA PUTREFACIENS,233
SHIGELLA SPECIES,234
SPHINGOBACTERIUM MULTIVORUM,235
SPHINGOBACTERIUM SPIRITIVORUM,236
SPHINGOMONAS,237
SPHINGOMONAS PAUCIMOBILIS/PARAPAUCIMOBILIS,238
STAPH AUREUS {MRSA},239
STAPH AUREUS(COLONY VARIANT - SMALL COLONY OR OTHER MORPHOTYPE),240
STAPH NEG NOT LUGDUNENSIS,241
STAPHYLOCOCCUS AUREUS,242
STAPHYLOCOCCUS COHNII,243
STAPHYLOCOCCUS EPIDERMIDIS,244
STAPHYLOCOCCUS HAEMOLYTICUS,245
STAPHYLOCOCCUS LUGDUNENSIS,246
STAPHYLOCOCCUS SAPROPHYTICUS,247
STAPHYLOCOCCUS SPECIES,248
"STAPHYLOCOCCUS SPECIES - COAG NEGATIVE, NOT STAPH SAPROPHYTICUS",249
STAPHYLOCOCCUS SPECIES -NOT STAPH. AUREUS,250
"STAPHYLOCOCCUS SPECIES, COAG PENDING",251
STENOTROPHOMONAS MALTOPHILIA,252
STREP. GRP D NOT ENTEROCOCCI,253
STREPTOCOCCUS AGALACTIAE (GROUP B),254
STREPTOCOCCUS AGALACTIAE {GROUP B},255
STREPTOCOCCUS ANGINOSUS,256
STREPTOCOCCUS ANGINOSUS GROUP,257
STREPTOCOCCUS BOVIS,258
STREPTOCOCCUS BOVIS GP.,259
STREPTOCOCCUS CONSTELLATUS,260
STREPTOCOCCUS DYSGALACTIAE,261
STREPTOCOCCUS DYSGALACTIAE SUBSP. EQUISIMILIS (GROUP C/G STR],262
STREPTOCOCCUS GALLOLYTICUS,263
"STREPTOCOCCUS GALLOLYTICUS, SUBSP. GALLOLYTICUS",264
"STREPTOCOCCUS GALLOLYTICUS, SUBSP. PASTEURIANUS",265
STREPTOCOCCUS GORDONII,266
STREPTOCOCCUS INTERMEDIUS,267
STREPTOCOCCUS MITIS,268
STREPTOCOCCUS MITIS GROUP,269
STREPTOCOCCUS MITIS/STREPTOCOCCUS ORALIS,270
STREPTOCOCCUS MUTANS,271
STREPTOCOCCUS MUTANS GROUP,272
STREPTOCOCCUS ORALIS,273
STREPTOCOCCUS PARASANGUINIS,274
STREPTOCOCCUS PNEUMONIAE,275
STREPTOCOCCUS PYOGENES (GROUP A),276
STREPTOCOCCUS PYOGENES {GROUP A},277
STREPTOCOCCUS SALIVARIUS,278
STREPTOCOCCUS SALIVARIUS GROUP,279
STREPTOCOCCUS SANGUINIS,280
STREPTOCOCCUS SANGUIS,281
STREPTOCOCCUS SPECIES,282
STREPTOCOCCUS SPECIES - ALPHA HEMOLYTIC,283
"STREPTOCOCCUS SPECIES - ALPHA HEMOLYTIC, NOT S.PNEUMO",284
TSUKAMURELLA PULMONIS,285
TSUKAMURELLA SPECIES,286
VEILLONELLA SPECIES,287
VIRIDANS GROUP STREPTOCOCCI,288
VIRIDANS GROUP STREPTOCOCCI NOT S. PNEUMONIAE,289
YERSINIA ENTEROCOLITICA,290
ZZAEROMONAS CAVIAE COMPLEX,291
ZZAEROMONAS HYDROPHILA COMPLEX,292
ZZAEROMONAS VERONII COMPLEX,293
ZZZBACTEROIDES DISTASONIS,294
ZZZBACTEROIDES FRAGILIS GROUP,295
ZZZBACTEROIDES NOT B. FRAGILIS GRP,296
ZZZCITROBACTER AMALONATICUS,297
ZZZCITROBACTER FARMERI,298
ZZZCLOSTRIDIUM SPECIES,299
ZZZENTEROBACTER AEROGENES,300
ZZZMYCOBACTERIUM MUCOGENICUM,301
ZZZPROPIONIBACTERIUM ACNES,302
ZZZPROTEUS PENNERI,303
ZZZPROTEUS VULGARIS,304
ZZZSTREPTOCOCCUS GALLOLYTICUS SUBSP. GALLOLYTICUS,305
ZZZSTREPTOCOCCUS GALLOLYTICUS SUBSP. PASTEURIANUS,306
